eps,gamma,budget,gap,method
0.35,0.0617815628187125,375000,0.03186303067834273,reduction
0.25,0.3298439734419374,375000,0.01697439886102825,reduction
0.18,0.517487660878195,997500,0.009532713707572471,reduction
0.13,0.6515188661898075,3660000,-1.0274003869881199e-12,reduction
0.1,0.731937589376775,10440000,-1.0274003869881199e-12,reduction
0.08,0.78555007150142,25485000,-1.0274003869881199e-12,reduction
0.35,,1750,,rhi
0.25,,3250,,rhi
0.18,,8250,,rhi
0.13,,16800,,rhi
0.1,,33050,,rhi
0.08,,57900,,rhi
